"year","gender","age","trip_count","trip_duration_avg"
"2018","0","16","44","25.29204545"
"2018","0","17","446","35.03370703"
"2018","0","18","466","34.89020029"
"2018","0","19","168","35.16547619"
"2018","0","20","766","27.56821149"
"2018","0","21","781","18.11628254"
"2018","0","22","2201","20.09180675"
"2018","0","23","1804","21.35485957"
"2018","0","24","2346","16.70395709"
"2018","0","25","2661","14.48341476"
"2018","0","26","3644","16.22479876"
"2018","0","27","1970","16.62239425"
"2018","0","28","6763","15.85512839"
"2018","0","29","4524","19.50954539"
"2018","0","30","5138","22.35711366"
"2018","0","31","5666","14.12852983"
"2018","0","32","4216","15.70783523"
"2018","0","33","3360","14.96699901"
"2018","0","34","3748","15.41730256"
"2018","0","35","3727","15.27562383"
"2018","0","36","3912","15.07885566"
"2018","0","37","3673","11.24070242"
"2018","0","38","4793","14.16566173"
"2018","0","39","2531","12.64114974"
"2018","0","40","2306","11.68765539"
"2018","0","41","2805","16.74455734"
"2018","0","42","2299","12.69180803"
"2018","0","43","4236","10.13480091"
"2018","0","44","2193","10.79018848"
"2018","0","45","463","15.34298056"
"2018","0","46","1646","11.67329891"
"2018","0","47","789","19.02116603"
"2018","0","48","863","16.7913287"
"2018","0","49","1379952","26.586948"
"2018","0","50","2677","12.03140331"
"2018","0","51","1311","9.22345538"
"2018","0","52","422","17.91058452"
"2018","0","53","1571","12.93800127"
"2018","0","54","88","25.32083333"
"2018","0","55","422","14.98475513"
"2018","0","56","973","11.67915382"
"2018","0","57","640","10.21658854"
"2018","0","58","1429","14.32457429"
"2018","0","59","526","14.91809252"
"2018","0","60","750","12.39626667"
"2018","0","61","602","13.24188815"
"2018","0","62","266","13.48809524"
"2018","0","63","84","13.96309524"
"2018","0","64","377","13.93961096"
"2018","0","65","30","11.61444444"
"2018","0","66","14","24.99642857"
"2018","0","67","121","15.05950413"
"2018","0","68","358","14.37416201"
"2018","0","69","325","9.48102564"
"2018","0","70","18","16.72037037"
"2018","0","72","219","8.04627093"
"2018","0","73","4","78.57083333"
"2018","0","74","161","10.8626294"
"2018","0","77","1","19.88333333"
"2018","0","78","18","18.34444444"
"2018","0","79","297","9.36189675"
"2018","0","81","1","36.9"
"2018","0","83","85","10.39509804"
"2018","0","84","1","6.5"
"2018","0","87","79","16.57679325"
"2018","0","88","6","13.16111111"
"2018","0","91","7","20.46666667"
"2018","0","94","1","32.66666667"
"2018","1","16","5216","17.23043839"
"2018","1","17","18112","14.28788372"
"2018","1","18","39528","14.91985175"
"2018","1","19","60931","14.49095233"
"2018","1","20","80522","13.24799289"
"2018","1","21","100565","13.06819785"
"2018","1","22","119970","13.58836987"
"2018","1","23","212029","13.32019574"
"2018","1","24","299330","12.85903685"
"2018","1","25","395872","12.49117935"
"2018","1","26","437531","12.15941952"
"2018","1","27","468105","12.62831188"
"2018","1","28","487207","12.46867875"
"2018","1","29","496834","12.39897696"
"2018","1","30","509573","13.045623"
"2018","1","31","451141","12.44320142"
"2018","1","32","450527","12.23302447"
"2018","1","33","447617","12.43350156"
"2018","1","34","421455","12.0226206"
"2018","1","35","379526","12.28573962"
"2018","1","36","373104","12.24995953"
"2018","1","37","347958","12.21191169"
"2018","1","38","320473","12.37140045"
"2018","1","39","305637","12.22993835"
"2018","1","40","269487","12.09716375"
"2018","1","41","256987","12.34116427"
"2018","1","42","250925","12.27785128"
