start_borough,end_borough,hour,total_num_trips,route
Brooklyn,Brooklyn,0,3799,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,1,2341,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,2,1254,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,3,746,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,4,693,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,5,1341,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,6,3237,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,7,6990,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,8,11318,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,9,12905,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,10,14423,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,11,17816,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,12,22511,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,13,23815,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,14,25645,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,15,27222,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,16,30118,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,17,36833,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,18,35010,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,19,29153,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,20,21480,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,21,13745,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,22,8951,Brooklyn_to_Brooklyn
Brooklyn,Brooklyn,23,6085,Brooklyn_to_Brooklyn
Brooklyn,Manhattan,0,448,Brooklyn_to_Manhattan
Brooklyn,Manhattan,1,276,Brooklyn_to_Manhattan
Brooklyn,Manhattan,2,138,Brooklyn_to_Manhattan
Brooklyn,Manhattan,3,102,Brooklyn_to_Manhattan
Brooklyn,Manhattan,4,67,Brooklyn_to_Manhattan
Brooklyn,Manhattan,5,266,Brooklyn_to_Manhattan
Brooklyn,Manhattan,6,964,Brooklyn_to_Manhattan
Brooklyn,Manhattan,7,1881,Brooklyn_to_Manhattan
Brooklyn,Manhattan,8,2573,Brooklyn_to_Manhattan
Brooklyn,Manhattan,9,2437,Brooklyn_to_Manhattan
Brooklyn,Manhattan,10,2270,Brooklyn_to_Manhattan
Brooklyn,Manhattan,11,2495,Brooklyn_to_Manhattan
Brooklyn,Manhattan,12,3229,Brooklyn_to_Manhattan
Brooklyn,Manhattan,13,3256,Brooklyn_to_Manhattan
Brooklyn,Manhattan,14,3207,Brooklyn_to_Manhattan
Brooklyn,Manhattan,15,3427,Brooklyn_to_Manhattan
Brooklyn,Manhattan,16,3652,Brooklyn_to_Manhattan
Brooklyn,Manhattan,17,3964,Brooklyn_to_Manhattan
Brooklyn,Manhattan,18,3766,Brooklyn_to_Manhattan
Brooklyn,Manhattan,19,2894,Brooklyn_to_Manhattan
Brooklyn,Manhattan,20,2128,Brooklyn_to_Manhattan
Brooklyn,Manhattan,21,1456,Brooklyn_to_Manhattan
Brooklyn,Manhattan,22,1006,Brooklyn_to_Manhattan
Brooklyn,Manhattan,23,690,Brooklyn_to_Manhattan
Brooklyn,Queens,0,136,Brooklyn_to_Queens
Brooklyn,Queens,1,89,Brooklyn_to_Queens
Brooklyn,Queens,2,47,Brooklyn_to_Queens
Brooklyn,Queens,3,30,Brooklyn_to_Queens
Brooklyn,Queens,4,21,Brooklyn_to_Queens
Brooklyn,Queens,5,19,Brooklyn_to_Queens
Brooklyn,Queens,6,89,Brooklyn_to_Queens
Brooklyn,Queens,7,244,Brooklyn_to_Queens
Brooklyn,Queens,8,339,Brooklyn_to_Queens
Brooklyn,Queens,9,394,Brooklyn_to_Queens
Brooklyn,Queens,10,401,Brooklyn_to_Queens
Brooklyn,Queens,11,517,Brooklyn_to_Queens
Brooklyn,Queens,12,672,Brooklyn_to_Queens
Brooklyn,Queens,13,711,Brooklyn_to_Queens
Brooklyn,Queens,14,734,Brooklyn_to_Queens
Brooklyn,Queens,15,866,Brooklyn_to_Queens
Brooklyn,Queens,16,993,Brooklyn_to_Queens
Brooklyn,Queens,17,1191,Brooklyn_to_Queens
Brooklyn,Queens,18,1090,Brooklyn_to_Queens
Brooklyn,Queens,19,1022,Brooklyn_to_Queens
Brooklyn,Queens,20,822,Brooklyn_to_Queens
Brooklyn,Queens,21,475,Brooklyn_to_Queens
Brooklyn,Queens,22,356,Brooklyn_to_Queens
Brooklyn,Queens,23,237,Brooklyn_to_Queens
Manhattan,Brooklyn,0,514,Manhattan_to_Brooklyn
Manhattan,Brooklyn,1,430,Manhattan_to_Brooklyn
Manhattan,Brooklyn,2,208,Manhattan_to_Brooklyn
Manhattan,Brooklyn,3,116,Manhattan_to_Brooklyn
Manhattan,Brooklyn,4,54,Manhattan_to_Brooklyn
Manhattan,Brooklyn,5,112,Manhattan_to_Brooklyn
Manhattan,Brooklyn,6,320,Manhattan_to_Brooklyn
Manhattan,Brooklyn,7,785,Manhattan_to_Brooklyn
Manhattan,Brooklyn,8,1246,Manhattan_to_Brooklyn
Manhattan,Brooklyn,9,1443,Manhattan_to_Brooklyn
Manhattan,Brooklyn,10,1887,Manhattan_to_Brooklyn
Manhattan,Brooklyn,11,2414,Manhattan_to_Brooklyn
Manhattan,Brooklyn,12,3080,Manhattan_to_Brooklyn
Manhattan,Brooklyn,13,3551,Manhattan_to_Brooklyn
Manhattan,Brooklyn,14,3795,Manhattan_to_Brooklyn
Manhattan,Brooklyn,15,3964,Manhattan_to_Brooklyn
Manhattan,Brooklyn,16,4987,Manhattan_to_Brooklyn
Manhattan,Brooklyn,17,6304,Manhattan_to_Brooklyn
Manhattan,Brooklyn,18,5299,Manhattan_to_Brooklyn
Manhattan,Brooklyn,19,3908,Manhattan_to_Brooklyn
