"year","month","day","num_trips"
"2018","01","1","5493"
"2018","01","2","18806"
"2018","01","3","24278"
"2018","01","4","1920"
"2018","01","5","4969"
"2018","01","6","4285"
"2018","01","7","5637"
"2018","01","8","15806"
"2018","01","9","25069"
"2018","01","10","28241"
"2018","01","11","33938"
"2018","01","12","22243"
"2018","01","13","17730"
"2018","01","14","12388"
"2018","01","15","17615"
"2018","01","16","30244"
"2018","01","17","18995"
"2018","01","18","27650"
"2018","01","19","30491"
"2018","01","20","28487"
"2018","01","21","27888"
"2018","01","22","36838"
"2018","01","23","28766"
"2018","01","24","36052"
"2018","01","25","31114"
"2018","01","26","33051"
"2018","01","27","34301"
"2018","01","28","20092"
"2018","01","29","36768"
"2018","01","30","27969"
"2018","01","31","31255"
"2018","02","1","35547"
"2018","02","2","26289"
"2018","02","3","18369"
"2018","02","4","13950"
"2018","02","5","29032"
"2018","02","6","34065"
"2018","02","7","15283"
"2018","02","8","31511"
"2018","02","9","31537"
"2018","02","10","16307"
"2018","02","11","8803"
"2018","02","12","35099"
"2018","02","13","35152"
"2018","02","14","39561"
"2018","02","15","44129"
"2018","02","16","29164"
"2018","02","17","17904"
"2018","02","18","21488"
"2018","02","19","25666"
"2018","02","20","44414"
"2018","02","21","53071"
"2018","02","22","26971"
"2018","02","23","25602"
"2018","02","24","25518"
"2018","02","25","16140"
"2018","02","26","42491"
"2018","02","27","48466"
"2018","02","28","50649"
"2018","03","1","45518"
"2018","03","2","6849"
"2018","03","3","28338"
"2018","03","4","25239"
"2018","03","5","36726"
"2018","03","6","42632"
"2018","03","7","8185"
"2018","03","8","28410"
"2018","03","9","34872"
"2018","03","10","25417"
"2018","03","11","27572"
"2018","03","12","36306"
"2018","03","13","23115"
"2018","03","14","35360"
"2018","03","15","39527"
"2018","03","16","34878"
"2018","03","17","27647"
"2018","03","18","25127"
"2018","03","19","39250"
"2018","03","20","35500"
"2018","03","21","3754"
"2018","03","22","27284"
"2018","03","23","38483"
"2018","03","24","34365"
"2018","03","25","25542"
"2018","03","26","40256"
"2018","03","27","41320"
"2018","03","28","42478"
"2018","03","29","39236"
"2018","03","30","34760"
"2018","03","31","41735"
"2018","04","1","33118"
"2018","04","2","22046"
"2018","04","3","25872"
"2018","04","4","36696"
"2018","04","5","39754"
"2018","04","6","35582"
"2018","04","7","33196"
"2018","04","8","28395"
"2018","04","9","40450"
"2018","04","10","43012"
"2018","04","11","48569"
"2018","04","12","53119"
"2018","04","13","63467"
"2018","04","14","62547"
"2018","04","15","20420"
"2018","04","16","26270"
"2018","04","17","44653"
"2018","04","18","51073"
"2018","04","19","38269"
"2018","04","20","47002"
"2018","04","21","63522"
"2018","04","22","54249"
"2018","04","23","57715"
"2018","04","24","58443"
"2018","04","25","31153"
"2018","04","26","66007"
"2018","04","27","39101"
"2018","04","28","56693"
"2018","04","29","44802"
"2018","04","30","41037"
"2018","05","1","71947"
"2018","05","2","76697"
"2018","05","3","68964"
"2018","05","4","71109"
"2018","05","5","63268"
"2018","05","6","48967"
"2018","05","7","68833"
"2018","05","8","74219"
"2018","05","9","78356"
"2018","05","10","67383"
"2018","05","11","75174"
"2018","05","12","34511"
"2018","05","13","25970"
"2018","05","14","64655"
"2018","05","15","52771"
"2018","05","16","32749"
"2018","05","17","49715"
"2018","05","18","63043"
"2018","05","19","18010"
"2018","05","20","56898"
"2018","05","21","71136"
"2018","05","22","48482"
"2018","05","23","72574"
"2018","05","24","74706"
"2018","05","25","69266"
"2018","05","26","51513"
"2018","05","27","25775"
"2018","05","28","48956"
"2018","05","29","68979"
"2018","05","30","72247"
"2018","05","31","55680"
"2018","06","1","62797"
"2018","06","2","60245"
"2018","06","3","50006"
"2018","06","4","58860"
"2018","06","5","71822"
"2018","06","6","69741"
"2018","06","7","70414"
"2018","06","8","72634"
"2018","06","9","65188"
"2018","06","10","41609"
"2018","06","11","68009"
"2018","06","12","76180"
"2018","06","13","64224"
"2018","06","14","75691"
"2018","06","15","72321"
"2018","06","16","63092"
"2018","06","17","56153"
"2018","06","18","63478"
"2018","06","19","72051"
"2018","06","20","74020"
"2018","06","21","69970"
"2018","06","22","71005"
"2018","06","23","50967"
"2018","06","24","55731"
"2018","06","25","71669"
"2018","06","26","80550"
"2018","06","27","67635"
"2018","06","28","50378"
"2018","06","29","69787"
"2018","06","30","54656"
"2018","07","1","45234"
"2018","07","2","58578"
"2018","07","3","54855"
"2018","07","4","48301"
"2018","07","5","59394"
"2018","07","6","49446"
"2018","07","7","60847"
"2018","07","8","60436"
"2018","07","9","70013"
"2018","07","10","72471"
"2018","07","11","72964"
"2018","07","12","74784"
"2018","07","13","72052"
"2018","07","14","62504"
"2018","07","15","52257"
"2018","07","16","67034"
"2018","07","17","48466"
"2018","07","18","75653"
"2018","07","19","77914"
"2018","07","20","74497"
"2018","07","21","53597"
"2018","07","22","44261"
"2018","07","23","53039"
"2018","07","24","69700"
"2018","07","25","42945"
"2018","07","26","70979"
"2018","07","27","49178"
"2018","07","28","61506"
"2018","07","29","63422"
"2018","07","30","69452"
"2018","07","31","76211"
"2018","08","1","64387"
"2018","08","2","69663"
"2018","08","3","61904"
"2018","08","4","51156"
"2018","08","5","58319"
"2018","08","6","65616"
"2018","08","7","64302"
"2018","08","8","70518"
"2018","08","9","71906"
"2018","08","10","69553"
"2018","08","11","36574"
"2018","08","12","59791"
"2018","08","13","44229"
"2018","08","14","63628"
"2018","08","15","72988"
