"year","month","num_trips"
"2018","01","0"
"2018","02","0"
"2018","03","0"
"2018","04","0"
"2018","05","0"
"2018","06","0"
"2018","07","0"
"2018","08","1388"
"2018","09","716"
"2018","10","224"
"2018","11","80"
"2018","12","89"
"2019","01","18"
"2019","02","9"
"2019","03","10"
"2019","04","0"
"2019","05","0"
"2019","06","0"
"2019","07","54"
"2019","08","89"
"2019","09","0"
"2019","10","0"
"2019","11","0"
"2019","12","0"
"2020","01","0"
"2020","02","0"
"2020","03","0"
"2020","04","0"
"2020","05","0"
"2020","06","0"
"2020","07","0"
"2020","08","0"
"2020","09","0"
"2020","10","0"
