"year","month","num_trips"
"2018","01","615"
"2018","02","936"
"2018","03","991"
"2018","04","1311"
"2018","05","2157"
"2018","06","2220"
"2018","07","1635"
"2018","08","1447"
"2018","09","1350"
"2018","10","1163"
"2018","11","943"
"2018","12","1122"
"2019","01","1068"
"2019","02","746"
"2019","03","1300"
"2019","04","1744"
"2019","05","1558"
"2019","06","1678"
"2019","07","1686"
"2019","08","1571"
"2019","09","1657"
"2019","10","1446"
"2019","11","890"
"2019","12","742"
"2020","01","709"
"2020","02","719"
"2020","03","1118"
"2020","04","972"
"2020","05","1595"
"2020","06","2255"
"2020","07","2565"
"2020","08","2323"
"2020","09","2307"
"2020","10","2032"
