"year","month","num_trips"
"2018","01","718379"
"2018","02","842178"
"2018","03","975681"
"2018","04","1306232"
"2018","05","1822553"
"2018","06","1950883"
"2018","07","1911990"
"2018","08","1974348"
"2018","09","1875823"
"2018","10","1877271"
"2018","11","1259332"
"2018","12","1015294"
"2019","01","966201"
"2019","02","942989"
"2019","03","1326650"
"2019","04","1764350"
"2019","05","1923005"
"2019","06","2123692"
"2019","07","2179324"
"2019","08","2342564"
"2019","09","2443243"
"2019","10","2091127"
"2019","11","1477818"
"2019","12","954468"
"2020","01","1239887"
"2020","02","1146111"
"2020","03","1067339"
"2020","04","681790"
"2020","05","1486295"
"2020","06","1880018"
"2020","07","2103243"
"2020","08","2327191"
"2020","09","2485918"
"2020","10","2246837"
