"year","month","num_trips"
"2018","01","718994"
"2018","02","843114"
"2018","03","976672"
"2018","04","1307543"
"2018","05","1824710"
"2018","06","1953103"
"2018","07","1913625"
"2018","08","1977177"
"2018","09","1877884"
"2018","10","1878657"
"2018","11","1260355"
"2018","12","1016505"
"2019","01","967287"
"2019","02","943744"
"2019","03","1327960"
"2019","04","1766094"
"2019","05","1924563"
"2019","06","2125370"
"2019","07","2181064"
"2019","08","2344224"
"2019","09","2444900"
"2019","10","2092573"
"2019","11","1478708"
"2019","12","955210"
"2020","01","1240596"
"2020","02","1146830"
"2020","03","1068457"
"2020","04","682762"
"2020","05","1487890"
"2020","06","1882273"
"2020","07","2105808"
"2020","08","2329514"
"2020","09","2488225"
"2020","10","2248869"
