"is_weekend","hour","total_num_trips"
"weekday","0","287518"
"weekday","1","146477"
"weekday","2","83231"
"weekday","3","52636"
"weekday","4","74209"
"weekday","5","306173"
"weekday","6","1027527"
"weekday","7","2103495"
"weekday","8","3515092"
"weekday","9","2583605"
"weekday","10","1615747"
"weekday","11","1612169"
"weekday","12","1892467"
"weekday","13","1995256"
"weekday","14","2104931"
"weekday","15","2300753"
"weekday","16","2813416"
"weekday","17","4170630"
"weekday","18","4046010"
"weekday","19","2806726"
"weekday","20","1855330"
"weekday","21","1256028"
"weekday","22","924729"
"weekday","23","609583"
"weekend","0","214251"
"weekend","1","139769"
"weekend","2","86521"
"weekend","3","53827"
"weekend","4","35435"
"weekend","5","35788"
"weekend","6","89047"
"weekend","7","195427"
"weekend","8","365060"
"weekend","9","593043"
"weekend","10","824591"
"weekend","11","1015528"
"weekend","12","1165733"
"weekend","13","1242080"
"weekend","14","1270117"
"weekend","15","1287659"
"weekend","16","1271037"
"weekend","17","1186362"
"weekend","18","1042310"
"weekend","19","831032"
"weekend","20","595890"
"weekend","21","425600"
"weekend","22","332398"
"weekend","23","247781"
